window,petrol_ghs_l,diesel_ghs_l,diesel_with_intervention_ghs_l,petrol_wow_pct,diesel_wow_pct,diesel_savings_ghs
"Current (Aug 4-15, 2026)",14.53,14.97,14.520900000000001,,,0.4490999999999996
Window +1,15.212404589045308,15.887907175366808,15.411269960105804,4.696521603890624,6.131644458028096,0.4766372152610039
Window +2,15.92685845704107,16.862097155181832,16.356234240526376,4.696521603890624,6.131644458028074,0.5058629146554559
Window +3,16.674866805297082,17.896021000904856,17.35914037087771,4.696521603890602,6.131644458028118,0.5368806300271451
